"code             ","rgb             ","hex    ","name                  ","category                       "
"-----------------","----------------","-------","----------------------","------------------------------ "
"19-3909 TCX      ","rgb(46,39,42)   ","#2E272A","Black Bean            ","Fashion and Interior Designers "
"19-3911 TCX      ","rgb(38,38,42)   ","#26262A","Black Beauty          ","Fashion and Interior Designers "
"19-3922 TCX      ","rgb(38,41,52)   ","#262934","Sky Captain           ","Fashion and Interior Designers "
"19-4003 TCX      ","rgb(43,39,43)   ","#2B272B","Black Onyx            ","Fashion and Interior Designers "
"19-4004 TCX      ","rgb(42,43,45)   ","#2A2B2D","Tap Shoe              ","Fashion and Interior Designers "
"19-4006 TCX      ","rgb(41,42,45)   ","#292A2D","Caviar                ","Fashion and Interior Designers "
"19-4007 TCX      ","rgb(40,40,45)   ","#28282D","Anthracite            ","Fashion and Interior Designers "
"19-4008 TCX      ","rgb(43,41,41)   ","#2B2929","Meteorite             ","Fashion and Interior Designers "
"19-5350 TCX      ","rgb(35,49,45)   ","#23312D","Scarab                ","Fashion and Interior Designers "
"19-5708 TCX      ","rgb(38,44,42)   ","#262C2A","Jet Set               ","Fashion and Interior Designers "
"19-4038 TCX      ","rgb(18,56,80)   ","#123850","Gibraltar Sea         ","Fashion and Interior Designers "
"19-4034 TCX      ","rgb(14,58,83)   ","#0E3A53","Sailor Blue           ","Fashion and Interior Designers "
"19-4120 TCX      ","rgb(15,59,87)   ","#0F3B57","Blue Opal             ","Fashion and Interior Designers "
"19-3952 TCX      ","rgb(32,60,127)  ","#203C7F","Surf the Web          ","Fashion and Interior Designers "
"19-3864 TCX      ","rgb(39,60,118)  ","#273C76","Mazarine Blue         ","Fashion and Interior Designers "
"19-3951 TCX      ","rgb(54,59,124)  ","#363B7C","Clematis Blue         ","Fashion and Interior Designers "
"19-4045 TCX      ","rgb(0,75,141)   ","#004B8D","Lapis Blue            ","Fashion and Interior Designers "
"19-4049 TPX      ","rgb(0,77,140)   ","#004D8C","Snorkel Blue          ","Fashion and Interior Designers "
"19-4050 TPX      ","rgb(22,77,143)  ","#164D8F","Nautical Blue         ","Fashion and Interior Designers "
"18-3949 TPX      ","rgb(46,77,167)  ","#2E4DA7","Dazzling Blue         ","Fashion and Interior Designers "
"19-4052 TCX      ","rgb(15,76,129)  ","#0F4C81","Classic Blue          ","Fashion and Interior Designers "
"19-4056 TCX      ","rgb(26,76,139)  ","#1A4C8B","Blue Iolite           ","Fashion and Interior Designers "
"19-4044 TPX      ","rgb(44,69,120)  ","#2C4578","Limoges               ","Fashion and Interior Designers "
"19-4150 TCX      ","rgb(0,83,156)   ","#00539C","Princess Blue         ","Fashion and Interior Designers "
"19-4151 TCX      ","rgb(0,88,155)   ","#00589B","Skydiver              ","Fashion and Interior Designers "
"19-4245 TPX      ","rgb(0,89,154)   ","#00599A","Imperial Blue         ","Fashion and Interior Designers "
"18-4148 TCX      ","rgb(8,88,157)   ","#08589D","Victoria Blue         ","Fashion and Interior Designers "
"19-4053 TCX      ","rgb(25,81,144)  ","#195190","Turkish Sea           ","Fashion and Interior Designers "
"18-4245 TN       ","rgb(0,99,178)   ","#0063B2","Electric Blue Lemonade","Fashion and Interior Designers "
"18-4244 TCX      ","rgb(0,97,163)   ","#0061A3","Directoire Blue       ","Fashion and Interior Designers "
"18-4045 TCX      ","rgb(15,95,154)  ","#0F5F9A","Daphne                ","Fashion and Interior Designers "
"18-4051 TCX      ","rgb(31,93,160)  ","#1F5DA0","Strong Blue           ","Fashion and Interior Designers "
"18-3945 TCX      ","rgb(73,96,168)  ","#4960A8","Amparo Blue           ","Fashion and Interior Designers "
"18-4048 TCX      ","rgb(45,98,163)  ","#2D62A3","Nebulas Blue          ","Fashion and Interior Designers "
"19-4033 TCX      ","rgb(18,57,85)   ","#123955","Poseidon              ","Fashion and Interior Designers "
"18-4250 TPG      ","rgb(0,111,175)  ","#006FAF","Indigo Bunting        ","Fashion and Interior Designers "
"18-4043 TCX      ","rgb(52,108,176) ","#346CB0","Palace Blue           ","Fashion and Interior Designers "
"19-5220 TCX      ","rgb(18,64,60)   ","#12403C","Botanical Garden      ","Fashion and Interior Designers "
"19-5232 TCX      ","rgb(21,70,62)   ","#15463E","Rain Forest           ","Fashion and Interior Designers "
"19-4057 TCX      ","rgb(30,68,119)  ","#1E4477","True Blue             ","Fashion and Interior Designers "
"18-4140 TCX      ","rgb(0,114,181)  ","#0072B5","French Blue           ","Fashion and Interior Designers "
"18-4247 TPG      ","rgb(0,120,186)  ","#0078BA","Brilliant Blue        ","Fashion and Interior Designers "
"18-4252 TCX      ","rgb(0,119,179)  ","#0077B3","Blue Aster            ","Fashion and Interior Designers "
"18-4440 TCX      ","rgb(0,117,175)  ","#0075AF","Cloisonné             ","Fashion and Interior Designers "
"19-5406 TCX      ","rgb(33,54,49)   ","#213631","Pine Grove            ","Fashion and Interior Designers "
"19-5230 TCX      ","rgb(24,74,69)   ","#184A45","Forest Biome          ","Fashion and Interior Designers "
"19-5414 TPX      ","rgb(28,71,70)   ","#1C4746","June Bug              ","Fashion and Interior Designers "
"17-4245 TCX      ","rgb(0,124,183)  ","#007CB7","Ibiza Blue            ","Fashion and Interior Designers "
"17-4247 TCX      ","rgb(0,123,178)  ","#007BB2","Diva Blue             ","Fashion and Interior Designers "
"18-4330 TCX      ","rgb(0,126,177)  ","#007EB1","Swedish Blue          ","Fashion and Interior Designers "
"18-4535 TPX      ","rgb(0,130,181)  ","#0082B5","Blue Jewel            ","Fashion and Interior Designers "
"19-5918 TCX      ","rgb(46,61,48)   ","#2E3D30","Mountain View         ","Fashion and Interior Designers "
"19-4914 TPX      ","rgb(23,73,80)   ","#174950","Deep Teal             ","Fashion and Interior Designers "
"19-5217 TCX      ","rgb(3,84,83)    ","#035453","Storm                 ","Fashion and Interior Designers "
"19-4524 TCX      ","rgb(0,88,94)    ","#00585E","Shaded Spruce         ","Fashion and Interior Designers "
"19-4540 TCX      ","rgb(0,82,101)   ","#005265","Deep Lagoon           ","Fashion and Interior Designers "
"19-4241 TCX      ","rgb(15,78,103)  ","#0F4E67","Moroccan Blue         ","Fashion and Interior Designers "
"19-4340 TCX      ","rgb(0,88,113)   ","#005871","Lyons Blue            ","Fashion and Interior Designers "
"18-4434 TCX      ","rgb(0,87,128)   ","#005780","Mykonos Blue          ","Fashion and Interior Designers "
"18-4231 TCX      ","rgb(9,87,123)   ","#09577B","Blue Sapphire         ","Fashion and Interior Designers "
"19-4048 TCX      ","rgb(21,81,135)  ","#155187","Baleine Blue          ","Fashion and Interior Designers "
"18-4141 TCX      ","rgb(50,114,175) ","#3272AF","Campanula             ","Fashion and Interior Designers "
"19-6050 TCX      ","rgb(38,78,54)   ","#264E36","Eden                  ","Fashion and Interior Designers "
"19-6311 TPX      ","rgb(44,76,50)   ","#2C4C32","Greener Pastures      ","Fashion and Interior Designers "
"18-5322 TCX      ","rgb(0,95,86)    ","#005F56","Alpine Green          ","Fashion and Interior Designers "
"19-5226 TCX      ","rgb(0,91,93)    ","#005B5D","Everglade             ","Fashion and Interior Designers "
"19-4234 TCX      ","rgb(11,83,105)  ","#0B5369","Ink Blue              ","Fashion and Interior Designers "
"19-4922 TPX      ","rgb(0,100,101)  ","#006465","Teal Green            ","Fashion and Interior Designers "
